,0,total_value
758,고루,0.0
759,고루고루,0.4545454545454546
760,고르,0.09740259740259738
761,고르지,-0.5384615384615385
762,고른,0.10313901345291482
763,고를,0.358974358974359
764,고름,-0.29411764705882354
765,고리,-0.6647230320699709
766,고마,-0.19999999999999996
767,고마운,0.05263157894736842
768,고마워,0.6000000000000001
769,고마워요,0.7125748502994012
770,고마웠,0.6000000000000001
771,고만,-0.6363636363636365
772,고맙,0.786046511627907
773,고모,0.7647058823529411
774,고무,-0.5036496350364963
775,고무라,-0.30000000000000004
776,고무마개,-0.5714285714285714
777,고무망치,-0.8181818181818181
778,고무신,-0.5714285714285714
779,고무장갑,-0.7222222222222223
780,고무줄,-0.4143968871595331
781,고물,-0.7142857142857142
782,고물상,-0.875
783,고민,0.2566371681415929
784,고바,-0.8461538461538463
785,고병,-0.07692307692307687
786,고사,-0.6666666666666667
787,고삿,-0.11111111111111116
788,고생,-0.3510540788267644
789,고소,-0.18518518518518517
790,고속,-0.6449704142011834
791,고속도,-0.29411764705882354
792,고수,0.125
793,고순,0.8571428571428572
794,고스란히,-0.3913043478260869
795,고시,-0.5675675675675675
796,고심,0.5111111111111111
797,고약,-0.6923076923076923
798,고양이,0.30522765598650925
799,고여,-0.35000000000000003
800,고온,-0.46788990825688076
801,고와서,0.4285714285714286
802,고요,-0.20675105485232065
803,고용,0.1063829787234043
804,고운,0.4222222222222223
805,고유,0.05882352941176472
806,고음,-0.4444444444444444
807,고음질,0.22222222222222227
808,고이,-0.4920634920634921
809,고인,-0.4285714285714286
810,고임,-0.4666666666666666
811,고작,-0.8695652173913044
812,고장,-0.34133790737564323
813,고장나,-0.2207207207207207
814,고장난,-0.7372881355932204
815,고장났,-0.9413092550790068
816,고전,-0.9285714285714286
817,고정,-0.57913777509798
818,고정대,-0.8999999999999999
819,고주파,-0.6470588235294117
820,고지,-0.875
821,고지도,-0.8461538461538463
822,고진,0.14814814814814814
823,고집,0.49253731343283585
824,고체,0.10526315789473689
825,고쳐,-0.7777777777777777
826,고쳐서,-0.8484848484848484
827,고쳐야,-0.7777777777777777
828,고쳤,-0.6666666666666667
829,고추,-0.10843373493975905
830,고추가,-0.31034482758620685
831,고추장,0.08955223880597019
832,고춧가루,-0.8620689655172413
833,고치,-0.7362637362637363
834,고칠,-0.17647058823529416
835,고퀄,0.5111111111111111
836,고탄력,-0.2571428571428571
837,고통,-0.4915254237288136
838,고품질,0.6000000000000001
839,고하,-0.2727272727272727
840,고학년,0.9183673469387754
841,고함,-0.47368421052631576
842,고향,0.2972972972972973
843,곡,0.10344827586206895
844,곡면,-0.2195121951219512
845,곡물,-0.18518518518518517
846,곡선,-0.4285714285714286
847,곤,-0.14285714285714285
848,곤란,-0.6395759717314489
849,곤색,-0.5238095238095237
850,곤약,0.360655737704918
851,곤욕,0.0
852,곧,0.03083700440528636
853,곧바로,-0.4545454545454546
854,골,-0.4308510638297873
855,골격,-0.14285714285714285
856,골고루,0.45679012345679015
857,골국,0.3333333333333333
858,골덴,-0.5757575757575757
859,골드,0.16198704103671702
860,골드색,-0.5294117647058822
861,골든,0.7
862,골라,-0.08077994428969354
863,골라냈,-0.3333333333333333
864,골라서,-0.23423423423423428
865,골라야,-0.06666666666666665
866,골랐,0.12941176470588234
867,골반,-0.2960893854748603
868,골지,-0.14666666666666667
869,골치,-0.38888888888888884
870,골판지,-0.7272727272727273
871,골프,0.19999999999999996
872,골프공,-0.7222222222222223
873,곪,-0.7916666666666667
874,곯,-0.8139534883720929
875,곰,-0.023622047244094446
876,곰국,0.14285714285714285
877,곰돌이,0.24705882352941178
878,곰탕,0.20833333333333331
879,곰팡,-0.736842105263158
880,곰팡이,-0.5514018691588785
881,곱,0.23287671232876717
882,곱슬,-0.7142857142857142
883,곱창,-0.847507331378299
884,곳,-0.27019066811347076
885,곳곳,-0.6923076923076923
886,공,-0.2315789473684211
887,공간,0.285981308411215
888,공갈,-0.8
889,공감,-0.3513513513513513
890,공개,-0.3548387096774193
891,공공,0.4545454545454546
892,공구,-0.2827586206896551
893,공급,0.3142857142857143
894,공기,-0.057090239410681365
895,공동,0.3461538461538462
896,공룡,-0.1333333333333333
897,공병,-0.06849315068493156
898,공복,0.7551020408163265
899,공부,0.5590062111801242
900,공부방,0.8571428571428572
901,공사,-0.37931034482758624
902,공산품,-0.47368421052631576
903,공수,0.35714285714285715
904,공식,0.0
905,공업,-0.6470588235294117
906,공연,0.5
907,공용,-0.07936507936507936
908,공원,-0.375
909,공유,-0.4285714285714286
910,공유기,-0.09090909090909088
911,공인,-0.6666666666666667
912,공임,0.6923076923076923
913,공장,-0.2230215827338129
914,공정,-0.8
915,공주,0.5
916,공중,-0.52
917,공지,-0.7888563049853372
918,공짜,-0.5813953488372092
919,공판,-0.8823529411764706
920,공학,-0.7333333333333334
921,공항,-0.8227848101265822
922,공향,-0.29411764705882354
923,공홈,-0.06666666666666665
924,공회전,0.935483870967742
925,공휴일,0.08333333333333331
